       L-Lsep (m)            R (m)            Z (m)          Te (eV)          Ti (eV)         FluxLi+3         FluxLi+2         FluxLi+1        FluxNe+10         FluxNe+9         FluxNe+8         FluxNe+7         FluxNe+6         FluxNe+5         FluxNe+4         FluxNe+3         FluxNe+2         FluxNe+1          FluxD+1            nLi+3            nLi+2            nLi+1           nNe+10            nNe+9            nNe+8            nNe+7            nNe+6            nNe+5            nNe+4            nNe+3            nNe+2            nNe+1             nD+1          |B| (T)     Bangle (deg)       q_e (W/m2)       q_i (W/m2)     q_tot (W/m2)
 -6.81896540e-02   4.03517818e+00  -3.30016438e+00   4.02951475e-01   4.27212667e-01   1.46598429e+13   4.43638877e+14   2.93297802e+15   1.00552605e+12   1.00552661e+12   3.30591727e+12   1.71958767e+14   6.81433443e+14   1.18610837e+15   5.61241388e+15   5.76528372e+16   9.11239865e+17   1.11345190e+18   1.31579406e+21   1.46152965e+11   4.41872490e+12   2.91861855e+13   1.00000000e+10   1.00000000e+10   3.29420292e+10   1.71376421e+12   6.79169941e+12   1.18229560e+13   5.59416567e+13   5.74428091e+14   9.06981100e+15   1.10669116e+16   1.31010853e+19   8.91903905e+00   8.90203544e+01   3.02335976e+02   2.32435986e+02   3.45931614e+03
 -6.33113271e-02   4.03869258e+00  -3.29686595e+00   4.17998607e-01   3.87141689e-01   2.18836000e+13   6.20085653e+14   3.89712359e+15   1.07344402e+12   1.07344648e+12   5.30287273e+12   2.52105210e+14   9.88160992e+14   1.75315337e+15   8.04592168e+15   8.45514181e+16   1.26136034e+18   1.47162196e+18   1.79403833e+21   2.04976863e+11   5.80106946e+12   3.63862781e+13   1.00000000e+10   1.00000000e+10   4.96810066e+10   2.36072389e+12   9.25382834e+12   1.64218486e+13   7.53587349e+13   7.91687143e+14   1.17910629e+16   1.37100621e+16   1.67674085e+19   8.91118333e+00   8.89919436e+01   4.12844043e+02   2.65156671e+02   4.65934611e+03
 -5.83415999e-02   4.04229283e+00  -3.29348696e+00   4.79433222e-01   4.87450198e-01   3.44707223e+13   8.90034510e+14   5.17700573e+15   1.11525425e+12   1.11525659e+12   9.13879681e+12   3.90644364e+14   1.51075165e+15   2.74572188e+15   1.21097754e+16   1.30641399e+17   1.78789341e+18   1.93751344e+18   2.49279949e+21   3.12817080e+11   8.06750423e+12   4.68362769e+13   1.00000000e+10   1.00000000e+10   8.29679402e+10   3.54314326e+12   1.37019388e+13   2.49082983e+13   1.09856036e+14   1.18492244e+15   1.61891908e+16   1.74838224e+16   2.25902715e+19   8.90319217e+00   8.90008778e+01   6.63240709e+02   4.91316736e+02   6.69512867e+03
 -5.33217119e-02   4.04594303e+00  -3.29006099e+00   5.37151401e-01   5.33006886e-01   5.18748534e+13   1.22749359e+15   6.61346669e+15   1.13303109e+12   1.13303185e+12   1.48690494e+13   5.84795535e+14   2.24103102e+15   4.15486550e+15   1.76981822e+16   1.94134308e+17   2.44398252e+18   2.45502749e+18   3.37242462e+21   4.60206666e+11   1.08796661e+13   5.85712082e+13   1.00000000e+10   1.00000000e+10   1.32003070e+11   5.18513738e+12   1.98682066e+13   3.68467771e+13   1.56965411e+14   1.72209956e+15   2.16557209e+16   2.17330450e+16   2.98665820e+19   8.89513718e+00   8.90294622e+01   1.00372395e+03   7.31330176e+02   9.24382093e+03
 -4.83609137e-02   4.04961473e+00  -3.28661481e+00   6.26372796e-01   6.37775513e-01   9.62366592e+13   2.11740764e+15   1.07175630e+16   1.34589996e+12   1.34590046e+12   2.95425241e+13   1.09136121e+15   4.16850690e+15   7.84518016e+15   3.25324875e+16   3.58934952e+17   4.22083627e+18   3.98827306e+18   5.80613771e+21   7.18281992e+11   1.57922751e+13   7.98956689e+13   1.00000000e+10   1.00000000e+10   2.20682408e+11   8.14337968e+12   3.10969717e+13   5.85329547e+13   2.42751121e+14   2.67866351e+15   3.14723954e+16   2.97239921e+16   4.32781807e+19   8.88725595e+00   8.89416646e+01   1.94119958e+03   1.47090688e+03   1.63913878e+04
 -4.35498896e-02   4.05312097e+00  -3.28332394e+00   6.87810138e-01   6.97584710e-01   1.48226830e+14   3.11705461e+15   1.51746535e+16   1.36992162e+12   1.36992243e+12   4.71245390e+13   1.68546433e+15   6.49018936e+15   1.23611355e+16   5.04683841e+16   5.58300723e+17   6.31647086e+18   5.75567524e+18   8.81375041e+21   1.09683085e+12   2.30426953e+13   1.12092332e+14   1.00000000e+10   1.00000000e+10   3.49431572e+11   1.24752294e+13   4.80158933e+13   9.14562678e+13   3.73342619e+14   4.13016054e+15   4.66754533e+16   4.24756926e+16   6.51002273e+19   8.87962920e+00   8.89591427e+01   3.23661391e+03   2.48059716e+03   2.54320909e+04
 -3.88468108e-02   4.05657365e+00  -3.28008333e+00   7.86718522e-01   7.97897950e-01   2.36268109e+14   4.86418692e+15   2.33876481e+16   1.44130176e+12   1.44130287e+12   7.71814959e+13   2.66731135e+15   1.04193538e+16   2.00627186e+16   8.12488711e+16   9.07377374e+17   1.01642054e+19   9.13538450e+18   1.46239978e+22   1.64676173e+12   3.38993794e+13   1.62975802e+14   1.00000000e+10   1.00000000e+10   5.38578594e+11   1.86102461e+13   7.26730006e+13   1.39879668e+14   5.66318822e+14   6.32303674e+15   7.08159244e+16   6.36039071e+16   1.01916313e+20   8.87214242e+00   8.89778637e+01   5.99204624e+03   4.68529202e+03   4.35585352e+04
 -3.41785705e-02   4.05996377e+00  -3.27690145e+00   8.58972759e-01   8.65001647e-01   3.52149737e+14   7.31008212e+15   3.57684858e+16   1.53146931e+12   1.54179759e+12   1.17136637e+14   3.89956694e+15   1.55439322e+16   3.01484348e+16   1.22176942e+17   1.39336359e+18   1.60509835e+19   1.46204376e+19   2.43457599e+22   2.29932051e+12   4.77303168e+13   2.33682078e+14   1.00000000e+10   1.00773476e+10   7.65079165e+11   2.54744899e+13   1.01536698e+14   1.96901440e+14   7.97766933e+14   9.09662121e+15   1.04795782e+17   9.54517081e+16   1.59060546e+20   8.86477306e+00   8.89630045e+01   1.06422131e+04   8.38987811e+03   7.40533584e+04
 -2.95639150e-02   4.06332106e+00  -3.27375037e+00   9.06646508e-01   9.09651276e-01   4.15698679e+14   9.34522934e+15   4.86174872e+16   1.46434881e+12   1.59866478e+12   1.33269637e+14   4.50911237e+15   1.85795208e+16   3.58260069e+16   1.44787507e+17   1.74221375e+18   2.22815492e+19   2.14134427e+19   3.64249489e+22   2.85268965e+12   6.40720782e+13   3.33457498e+14   1.00000000e+10   1.09512170e+10   9.15816901e+11   3.09440688e+13   1.27488691e+14   2.45866482e+14   9.93686645e+14   1.19522279e+16   1.52739662e+17   1.46712958e+17   2.49607160e+20   8.85748550e+00   8.90183442e+01   1.68233020e+04   1.34484791e+04   1.12444725e+05
 -2.51027936e-02   4.06664724e+00  -3.27062850e+00   9.86209514e-01   9.89759402e-01   4.99905771e+14   1.21279537e+16   6.84548449e+16   1.49353739e+12   1.75379318e+12   1.71736549e+14   5.49974505e+15   2.30344826e+16   4.38828860e+16   1.76151839e+17   2.21989582e+18   3.21354821e+19   3.28335964e+19   5.76545944e+22   3.32949065e+12   8.10261971e+13   4.58039075e+14   1.00000000e+10   1.17312022e+10   1.13565220e+12   3.66198346e+13   1.53553798e+14   2.92315888e+14   1.17294741e+15   1.47987227e+16   2.14818158e+17   2.19705222e+17   3.85575605e+20   8.85040813e+00   8.90303425e+01   2.86915196e+04   2.32810400e+04   1.82594854e+05
